x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.2096,demister,145.5398,40.0000,80.0000,300.0000,20.0000,0.0000
0.2145,demister,145.4376,40.0000,80.0000,300.0000,20.0000,0.0000
0.2194,demister,145.3356,40.0000,80.0000,300.0000,20.0000,0.0000
0.2243,demister,145.2336,40.0000,80.0000,300.0000,20.0000,0.0000
0.2291,demister,145.1317,40.0000,80.0000,300.0000,20.0000,0.0000
0.2340,demister,145.0298,40.0000,80.0000,300.0000,20.0000,0.0000
0.2389,demister,144.9280,40.0000,80.0000,300.0000,20.0000,0.0000
0.2437,demister,144.8263,40.0000,80.0000,300.0000,20.0000,0.0000
0.2486,demister,144.7247,40.0000,80.0000,300.0000,20.0000,0.0000
0.2535,wesp,144.6231,40.0000,80.0000,300.0000,20.0000,0.0000
0.2584,wesp,144.5949,40.0000,80.0000,300.0000,20.0000,0.0000
0.2632,wesp,144.5667,40.0000,80.0000,300.0000,20.0000,0.0000
0.2681,wesp,144.5386,40.0000,80.0000,300.0000,20.0000,0.0000
0.2730,wesp,144.5104,40.0000,80.0000,300.0000,20.0000,0.0000
0.2779,wesp,144.4822,40.0000,80.0000,300.0000,20.0000,0.0000
0.2828,wesp,144.4540,40.0000,80.0000,300.0000,20.0000,0.0000
0.2876,wesp,144.4259,40.0000,80.0000,300.0000,20.0000,0.0000
0.2925,wesp,144.3977,40.0000,80.0000,300.0000,20.0000,0.0000
0.2974,wesp,144.3695,40.0000,80.0000,300.0000,20.0000,0.0000
0.3023,wesp,144.3414,40.0000,80.0000,300.0000,20.0000,0.0000
0.3071,wesp,144.3133,40.0000,80.0000,300.0000,20.0000,0.0000
0.3120,wesp,144.2851,40.0000,80.0000,300.0000,20.0000,0.0000
0.3169,wesp,144.2570,40.0000,80.0000,300.0000,20.0000,0.0000
0.3217,wesp,144.2289,40.0000,80.0000,300.0000,20.0000,0.0000
0.3266,wesp,144.2007,40.0000,80.0000,300.0000,20.0000,0.0000
0.3315,wesp,144.1726,40.0000,80.0000,300.0000,20.0000,0.0000
0.3364,wesp,144.1445,40.0000,80.0000,300.0000,20.0000,0.0000
0.3412,wesp,144.1164,40.0000,80.0000,300.0000,20.0000,0.0000
0.3461,wesp,144.0883,40.0000,80.0000,300.0000,20.0000,0.0000
0.3510,wesp,144.0602,40.0000,80.0000,300.0000,20.0000,0.0000
0.3559,wesp,144.0321,40.0000,80.0000,300.0000,20.0000,0.0000
