x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.7751,wesp,34.7257,40.0000,72.0107,300.0000,20.0000,0.0000
0.7800,wesp,34.2658,40.0000,71.9400,300.0000,20.0000,0.0000
0.7849,wesp,33.8119,40.0000,71.8693,300.0000,20.0000,0.0000
0.7897,wesp,33.3641,40.0000,71.7986,300.0000,20.0000,0.0000
0.7946,wesp,32.9222,40.0000,71.7281,300.0000,20.0000,0.0000
0.7995,wesp,32.4862,40.0000,71.6576,300.0000,20.0000,0.0000
0.8044,wesp,32.0559,40.0000,71.5872,300.0000,20.0000,0.0000
0.8093,wesp,31.6313,40.0000,71.5168,300.0000,20.0000,0.0000
0.8141,wesp,31.2124,40.0000,71.4465,300.0000,20.0000,0.0000
0.8190,wesp,30.7990,40.0000,71.3763,300.0000,20.0000,0.0000
0.8239,wesp,30.3911,40.0000,71.3061,300.0000,20.0000,0.0000
0.8287,wesp,29.9885,40.0000,71.2361,300.0000,20.0000,0.0000
0.8336,wesp,29.5914,40.0000,71.1661,300.0000,20.0000,0.0000
0.8385,wesp,29.1994,40.0000,71.0961,300.0000,20.0000,0.0000
0.8434,wesp,28.8127,40.0000,71.0262,300.0000,20.0000,0.0000
0.8482,wesp,28.4311,40.0000,70.9564,300.0000,20.0000,0.0000
0.8531,wesp,28.0545,40.0000,70.8867,300.0000,20.0000,0.0000
0.8580,wesp,27.6829,40.0000,70.8170,300.0000,20.0000,0.0000
0.8629,wesp,27.3163,40.0000,70.7474,300.0000,20.0000,0.0000
0.8678,wesp,26.9545,40.0000,70.6779,300.0000,20.0000,0.0000
0.8726,wesp,26.5975,40.0000,70.6084,300.0000,20.0000,0.0000
0.8775,wesp,26.2452,40.0000,70.5390,300.0000,20.0000,0.0000
0.8824,wesp,25.8976,40.0000,70.4697,300.0000,20.0000,0.0000
0.8872,wesp,25.5546,40.0000,70.4005,300.0000,20.0000,0.0000
0.8921,wesp,25.2161,40.0000,70.3313,300.0000,20.0000,0.0000
0.8970,wesp,24.8822,40.0000,70.2621,300.0000,20.0000,0.0000
0.9019,wesp,24.5526,40.0000,70.1931,300.0000,20.0000,0.0000
0.9067,wesp,24.2274,40.0000,70.1241,300.0000,20.0000,0.0000
