x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
1.2480,plasma,13.4817,32.5826,74.1773,280.2689,469.3950,95.1237
1.2529,plasma,13.4817,32.2409,74.5190,279.3171,491.8563,95.1239
1.2577,plasma,13.4817,31.9018,74.8581,278.3686,514.3169,95.1240
1.2626,plasma,13.4817,31.5655,75.1944,277.4233,536.7768,95.1242
1.2675,plasma,13.4817,31.2318,75.5281,276.4812,559.2361,95.1243
1.2724,plasma,13.4817,30.9008,75.8591,275.5423,581.6947,95.1244
1.2772,plasma,13.4817,30.5725,76.1874,274.6066,604.1528,95.1246
1.2821,plasma,13.4817,30.2468,76.5131,273.6741,626.6102,95.1247
1.2870,plasma,13.4817,29.9238,76.8361,272.7447,649.0671,95.1249
1.2919,plasma,13.4817,29.6034,77.1565,271.8185,671.5234,95.1250
1.2968,plasma,13.4817,29.2857,77.4742,270.8954,693.9791,95.1251
1.3016,plasma,13.4817,28.9705,77.7894,269.9755,716.4343,95.1253
1.3065,plasma,13.4817,28.6580,78.1019,269.0587,738.8890,95.1254
1.3114,plasma,13.4817,28.3480,78.4119,268.1450,761.3432,95.1256
1.3162,plasma,13.4817,28.0406,78.7193,267.2344,783.7969,95.1257
1.3211,plasma,13.4817,27.7358,79.0241,266.3269,806.2501,95.1258
1.3260,plasma,13.4817,27.4336,79.3263,265.4225,828.7029,95.1260
1.3309,plasma,13.4817,27.1339,79.6260,264.5212,851.1552,95.1261
1.3357,plasma,13.4817,26.8367,79.9232,263.6229,873.6071,95.1262
1.3406,plasma,13.4817,26.5421,80.2178,262.7277,896.0586,95.1264
1.3455,plasma,13.4817,26.2499,80.5100,261.8355,918.5096,95.1265
1.3504,plasma,13.4817,25.9603,80.7996,260.9463,940.9603,95.1266
1.3553,plasma,13.4817,25.6732,81.0867,260.0602,963.4105,95.1268
1.3601,plasma,13.4817,25.3885,81.3714,259.1770,985.8604,95.1269
1.3650,plasma,13.4817,25.1063,81.6536,258.2969,1008.3100,95.1270
1.3699,plasma,13.4817,24.8265,81.9333,257.4198,1030.7592,95.1272
1.3747,plasma,13.4817,24.5492,82.2107,256.5456,1053.2081,95.1273
1.3796,plasma,13.4817,24.2744,82.4855,255.6744,1075.6566,95.1274
1.3845,plasma,13.4817,24.0019,82.7580,254.8062,1098.1049,95.1275
1.3894,plasma,13.4817,23.7318,83.0280,253.9409,1120.5528,95.1277
1.3942,plasma,13.4817,23.4642,83.2957,253.0785,1143.0005,95.1278
1.3991,plasma,13.4817,23.1989,83.5610,252.2191,1165.4479,95.1279
1.4040,plasma,13.4817,22.9360,83.8239,251.3626,1187.8950,95.1280
1.4089,plasma,13.4817,22.6754,84.0845,250.5090,1210.3419,95.1282
1.4138,plasma,13.4817,22.4172,84.3427,249.6583,1232.7885,95.1283
1.4186,plasma,13.4817,22.1613,84.5986,248.8105,1255.2350,95.1284
1.4235,plasma,13.4817,21.9077,84.8521,247.9656,1277.6811,95.1285
1.4284,plasma,13.4817,21.6565,85.1034,247.1235,1300.1271,95.1287
1.4332,plasma,13.4817,21.4075,85.3524,246.2843,1322.5729,95.1288
1.4381,plasma,13.4817,21.1608,85.5991,245.4479,1345.0185,95.1289
1.4430,plasma,13.4817,20.9164,85.8435,244.6144,1367.4639,95.1290
1.4479,plasma,13.4817,20.6742,86.0857,243.7838,1389.9091,95.1291
1.4527,plasma,13.4817,20.4343,86.3256,242.9559,1412.3542,95.1292
1.4576,plasma,13.4817,20.1966,86.5633,242.1308,1434.7991,95.1294
1.4625,plasma,13.4817,19.9611,86.7988,241.3086,1457.2439,95.1295
1.4674,plasma,13.4817,19.7278,87.0321,240.4891,1479.6885,95.1296
1.4723,plasma,13.4817,19.4967,87.2632,239.6725,1502.1330,95.1297
1.4771,plasma,13.4817,19.2678,87.4921,238.8586,1524.5774,95.1298
